id,name,image,slug,status,created_at,updated_at,manufacture_id
1,Dodge,uploads/custom-images/manufactures_and_brands/dodge-logo.png,dodge,enable,NULL,NULL,1
2,Jeep,uploads/custom-images/manufactures_and_brands/jeep-logo.png,jeep,enable,NULL,NULL,1
3,Fiat,uploads/custom-images/manufactures_and_brands/fiat-logo.png,fiat,enable,NULL,NULL,1
4,"Alfa Romeo",uploads/custom-images/manufactures_and_brands/alfa-romeo-logo.png,alfa-romeo,enable,NULL,NULL,1
5,Ram,NULL,ram,enable,NULL,NULL,1
6,"Aston Martin",uploads/custom-images/manufactures_and_brands/aston-martin-logo.png,aston-martin,enable,NULL,NULL,2
7,Audi,uploads/custom-images/manufactures_and_brands/audi-logo.png,audi,enable,NULL,NULL,3
8,Bentley,uploads/custom-images/manufactures_and_brands/bentley-logo.png,bentley,enable,NULL,NULL,4
9,BMW,uploads/custom-images/manufactures_and_brands/bmw-logo.png,bmw,enable,NULL,NULL,5
10,MINI,NULL,mini,enable,NULL,NULL,5
11,Brammo,uploads/custom-images/manufactures_and_brands/brammo-logo.png,brammo,enable,NULL,NULL,6
12,Bugatti,uploads/custom-images/manufactures_and_brands/bugatti-logo.png,bugatti,enable,NULL,NULL,7
13,Chevrolet,uploads/custom-images/manufactures_and_brands/chevrolet-logo.png,chevrolet,enable,NULL,NULL,8
14,Buick,uploads/custom-images/manufactures_and_brands/buick-logo.png,buick,enable,NULL,NULL,8
15,Cadillac,uploads/custom-images/manufactures_and_brands/cadillac-logo.png,cadillac,enable,NULL,NULL,8
16,Holden,NULL,holden,enable,NULL,NULL,8
17,Opel,NULL,opel,enable,NULL,NULL,8
18,GMC,uploads/custom-images/manufactures_and_brands/gmc-logo.png,gmc,enable,NULL,NULL,8
19,Honda,NULL,honda,enable,NULL,NULL,8
20,Acura,NULL,acura,enable,NULL,NULL,8
21,Pontiac,uploads/custom-images/manufactures_and_brands/pontiac-logo.png,pontiac,enable,NULL,NULL,8
22,Isuzu,NULL,isuzu,enable,NULL,NULL,8
23,SAAB,NULL,saab,enable,NULL,NULL,8
24,Hummer,NULL,hummer,enable,NULL,NULL,8
25,Saturn,NULL,saturn,enable,NULL,NULL,8
26,Daewoo,uploads/custom-images/manufactures_and_brands/daewoo-logo.png,daewoo,enable,NULL,NULL,8
27,"American Motors",NULL,american-motors,enable,NULL,NULL,8
28,Geo,uploads/custom-images/manufactures_and_brands/geo-logo.png,geo,enable,NULL,NULL,8
29,Oldsmobile,NULL,oldsmobile,enable,NULL,NULL,8
30,Cruise,NULL,cruise,enable,NULL,NULL,8
31,BrightDrop,NULL,brightdrop,enable,NULL,NULL,8
32,BYD,uploads/custom-images/manufactures_and_brands/byd-logo.png,byd,enable,NULL,NULL,9
33,Canoo,uploads/custom-images/manufactures_and_brands/canoo-logo.png,canoo,enable,NULL,NULL,10
34,Daihatsu,uploads/custom-images/manufactures_and_brands/daihatsu-logo.png,daihatsu,enable,NULL,NULL,11
35,Nissan,uploads/custom-images/manufactures_and_brands/nissan-logo.png,nissan,enable,NULL,NULL,12
36,Infiniti,NULL,infiniti,enable,NULL,NULL,12
37,Datsun,uploads/custom-images/manufactures_and_brands/datsun-logo.png,datsun,enable,NULL,NULL,12
38,"DeSoto Motors",uploads/custom-images/manufactures_and_brands/desoto-logo.png,desoto-motors,enable,NULL,NULL,13
39,"Royal Enfield",NULL,royal-enfield,enable,NULL,NULL,14
40,Ferrari,uploads/custom-images/manufactures_and_brands/ferrari-logo.png,ferrari,enable,NULL,NULL,15
41,Fisker,uploads/custom-images/manufactures_and_brands/fisker-logo.png,fisker,enable,NULL,NULL,16
42,Ford,uploads/custom-images/manufactures_and_brands/ford-logo.png,ford,enable,NULL,NULL,17
43,Lincoln,NULL,lincoln,enable,NULL,NULL,17
44,Mercury,NULL,mercury,enable,NULL,NULL,17
45,Th!nk,NULL,thnk,enable,NULL,NULL,17
46,Hyundai,NULL,hyundai,enable,NULL,NULL,18
47,Genesis,uploads/custom-images/manufactures_and_brands/genesis-logo.png,genesis,enable,NULL,NULL,18
48,HMC,NULL,hmc,enable,NULL,NULL,18
49,Jaguar,uploads/custom-images/manufactures_and_brands/jaguar-logo.png,jaguar,enable,NULL,NULL,19
50,"Land Rover",uploads/custom-images/manufactures_and_brands/land-rover-logo.png,land-rover,enable,NULL,NULL,19
51,KARMA,uploads/custom-images/manufactures_and_brands/karma-logo.png,karma,enable,NULL,NULL,20
52,Kia,uploads/custom-images/manufactures_and_brands/kia-logo.png,kia,enable,NULL,NULL,21
53,Koenigsegg,uploads/custom-images/manufactures_and_brands/koenigsegg-logo.png,koenigsegg,enable,NULL,NULL,22
54,KTM,uploads/custom-images/manufactures_and_brands/ktm-logo.png,ktm,enable,NULL,NULL,23
55,Husqvarna,NULL,husqvarna,enable,NULL,NULL,23
56,Husaberg,NULL,husaberg,enable,NULL,NULL,23
57,GasGas,NULL,gasgas,enable,NULL,NULL,23
58,Lamborghini,uploads/custom-images/manufactures_and_brands/lamborghini-logo.png,lamborghini,enable,NULL,NULL,24
59,Toyota,uploads/custom-images/manufactures_and_brands/toyota-logo.png,toyota,enable,NULL,NULL,25
60,Lexus,uploads/custom-images/manufactures_and_brands/lexus-logo.png,lexus,enable,NULL,NULL,25
61,Lordstown,uploads/custom-images/manufactures_and_brands/lordstown-logo.png,lordstown,enable,NULL,NULL,26
62,Lotus,uploads/custom-images/manufactures_and_brands/lotus-logo.png,lotus,enable,NULL,NULL,27
63,Lucid,uploads/custom-images/manufactures_and_brands/lucid-logo.png,lucid,enable,NULL,NULL,28
64,Mahindra,uploads/custom-images/manufactures_and_brands/mahindra-logo.png,mahindra,enable,NULL,NULL,29
65,Maserati,uploads/custom-images/manufactures_and_brands/maserati-logo.png,maserati,enable,NULL,NULL,30
66,Chrysler,NULL,chrysler,enable,NULL,NULL,30
67,Mazda,uploads/custom-images/manufactures_and_brands/mazda-logo.png,mazda,enable,NULL,NULL,31
68,McLaren,uploads/custom-images/manufactures_and_brands/mclaren-logo.png,mclaren,enable,NULL,NULL,32
69,Mercedes-Benz,uploads/custom-images/manufactures_and_brands/mercedes-benz-logo.png,mercedes-benz,enable,NULL,NULL,33
70,Freightliner,NULL,freightliner,enable,NULL,NULL,33
71,Chrysler,NULL,chrysler,enable,NULL,NULL,34
72,Mitsubishi,uploads/custom-images/manufactures_and_brands/mitsubishi-logo.png,mitsubishi,enable,NULL,NULL,34
73,"Mitsubishi Fuso",NULL,mitsubishi-fuso,enable,NULL,NULL,34
74,Plymouth,NULL,plymouth,enable,NULL,NULL,34
75,Mosler,uploads/custom-images/manufactures_and_brands/mosler-logo.png,mosler,enable,NULL,NULL,35
76,NIKOLA,uploads/custom-images/manufactures_and_brands/nikola-logo.png,nikola,enable,NULL,NULL,36
77,Buick,NULL,buick,enable,NULL,NULL,37
78,Opel,uploads/custom-images/manufactures_and_brands/opel-logo.png,opel,enable,NULL,NULL,37
79,Saturn,NULL,saturn,enable,NULL,NULL,37
80,Peterbilt,NULL,peterbilt,enable,NULL,NULL,38
81,Kenworth,NULL,kenworth,enable,NULL,NULL,38
82,Pagani,uploads/custom-images/manufactures_and_brands/pagani-logo.png,pagani,enable,NULL,NULL,39
83,Panoz,uploads/custom-images/manufactures_and_brands/panoz-logo.png,panoz,enable,NULL,NULL,40
84,Peterbilt,uploads/custom-images/manufactures_and_brands/peterbilt-logo.png,peterbilt,enable,NULL,NULL,41
85,Peugeot,uploads/custom-images/manufactures_and_brands/peugeot-logo.png,peugeot,enable,NULL,NULL,42
86,Porsche,uploads/custom-images/manufactures_and_brands/porsche-logo.png,porsche,enable,NULL,NULL,43
87,Mack,NULL,mack,enable,NULL,NULL,44
88,RIVIAN,uploads/custom-images/manufactures_and_brands/rivian-logo.png,rivian,enable,NULL,NULL,45
89,Rolls-Royce,uploads/custom-images/manufactures_and_brands/rolls-royce-logo.png,rolls-royce,enable,NULL,NULL,46
90,Saleen,uploads/custom-images/manufactures_and_brands/saleen-logo.png,saleen,enable,NULL,NULL,47
91,Spyker,uploads/custom-images/manufactures_and_brands/spyker-logo.png,spyker,enable,NULL,NULL,48
92,Korando,uploads/custom-images/manufactures_and_brands/ssangyong-logo.png,korando,enable,NULL,NULL,49
93,"Studebaker Motor Company",uploads/custom-images/manufactures_and_brands/studebaker-logo.png,studebaker-motor-company,enable,NULL,NULL,50
94,Subaru,uploads/custom-images/manufactures_and_brands/subaru-logo.png,subaru,enable,NULL,NULL,51
95,Suzuki,uploads/custom-images/manufactures_and_brands/suzuki-logo.png,suzuki,enable,NULL,NULL,52
96,Tesla,uploads/custom-images/manufactures_and_brands/tesla-logo.png,tesla,enable,NULL,NULL,53
97,Volkswagen,uploads/custom-images/manufactures_and_brands/volkswagen-logo.png,volkswagen,enable,NULL,NULL,54
98,Lamborghini,NULL,lamborghini,enable,NULL,NULL,54
99,Ducati,NULL,ducati,enable,NULL,NULL,54
100,Porsche,NULL,porsche,enable,NULL,NULL,54
101,Volvo,uploads/custom-images/manufactures_and_brands/volvo-logo.png,volvo,enable,NULL,NULL,55
102,"Western Star",uploads/custom-images/manufactures_and_brands/western-star-logo.png,western-star,enable,NULL,NULL,56
103,Workhorse,uploads/custom-images/manufactures_and_brands/workhorse-logo.png,workhorse,enable,NULL,NULL,57
125,ACURA,NULL,ACURA,enable,"2025-03-14 20:26:37","2025-03-14 20:26:37",62
126,"ALFA ROMEO",NULL,"ALFA ROMEO",enable,"2025-03-14 20:43:38","2025-03-14 20:43:38",63
